Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
19,Adquisición de Vivienda,"$3,500,000.00",90.0,10 años,"$107,607.75",11%,Creciente,14.555,"$46,785.98",Mensual
19,Adquisición de Vivienda,"$3,500,000.00",90.0,20 años,"$87,281.15",12%,Creciente,11.7909,"$37,948.33",Mensual
20,Adquisición de Vivienda,"$4,000,000.00",90.0,5 años,"$189,857.93",11%,Creciente,22.5224,"$82,546.93",Mensual
20,Adquisición de Vivienda,"$4,000,000.00",90.0,10 años,"$122,898.13",11%,Creciente,14.555,"$53,433.97",Mensual
20,Adquisición de Vivienda,"$4,000,000.00",90.0,20 años,"$99,667.76",12%,Creciente,11.7909,"$43,333.81",Mensual
21,Adquisición de Vivienda,"$4,500,000.00",90.0,5 años,"$213,518.31",11%,Creciente,22.5224,"$92,834.05",Mensual
21,Adquisición de Vivienda,"$4,500,000.00",90.0,10 años,"$138,188.53",11%,Creciente,14.555,"$60,081.97",Mensual
21,Adquisición de Vivienda,"$4,500,000.00",90.0,20 años,"$112,054.34",12%,Creciente,11.7909,"$48,719.28",Mensual
22,Adquisición de Vivienda,"$5,000,000.00",90.0,5 años,"$237,178.69",11%,Creciente,22.5224,"$103,121.17",Mensual
22,Adquisición de Vivienda,"$5,000,000.00",90.0,10 años,"$153,478.93",11%,Creciente,14.555,"$66,729.97",Mensual
22,Adquisición de Vivienda,"$5,000,000.00",90.0,20 años,"$124,440.94",12%,Creciente,11.7909,"$54,104.76",Mensual
23,Adquisición de Vivienda,"$5,500,000.00",90.0,5 años,"$260,839.04",11%,Creciente,22.5224,"$113,408.28",Mensual
23,Adquisición de Vivienda,"$5,500,000.00",90.0,10 años,"$168,769.30",11%,Creciente,14.555,"$73,377.96",Mensual
23,Adquisición de Vivienda,"$5,500,000.00",90.0,20 años,"$136,827.55",12%,Creciente,11.7909,"$59,490.24",Mensual
24,Adquisición de Vivienda,"$6,000,000.00",90.0,5 años,"$284,499.42",11%,Creciente,22.5224,"$123,695.4",Mensual
24,Adquisición de Vivienda,"$6,000,000.00",90.0,10 años,"$184,059.70",11%,Creciente,14.555,"$80,025.96",Mensual
24,Adquisición de Vivienda,"$6,000,000.00",90.0,20 años,"$149,214.13",12%,Creciente,11.7909,"$64,875.71",Mensual
25,Adquisición de Vivienda,"$6,500,000.00",90.0,5 años,"$308,159.79",11%,Creciente,22.5224,"$133,982.52",Mensual
25,Adquisición de Vivienda,"$6,500,000.00",90.0,10 años,"$199,350.10",11%,Creciente,14.555,"$86,673.96",Mensual
25,Adquisición de Vivienda,"$6,500,000.00",90.0,20 años,"$161,600.73",12%,Creciente,11.7909,"$70,261.19",Mensual
26,Adquisición de Vivienda,"$7,000,000.00",90.0,5 años,"$331,820.14",11%,Creciente,22.5224,"$144,269.63",Mensual
26,Adquisición de Vivienda,"$7,000,000.00",90.0,10 años,"$214,640.48",11%,Creciente,14.555,"$93,321.95",Mensual
26,Adquisición de Vivienda,"$7,000,000.00",90.0,20 años,"$173,987.31",12%,Creciente,11.7909,"$75,646.66",Mensual
27,Adquisición de Vivienda,"$7,500,000.00",90.0,5 años,"$355,480.52",11%,Creciente,22.5224,"$154,556.75",Mensual
27,Adquisición de Vivienda,"$7,500,000.00",90.0,10 años,"$229,930.88",11%,Creciente,14.555,"$99,969.95",Mensual
27,Adquisición de Vivienda,"$7,500,000.00",90.0,20 años,"$186,373.92",12%,Creciente,11.7909,"$81,032.14",Mensual
28,Adquisición de Vivienda,"$8,000,000.00",90.0,5 años,"$379,140.90",11%,Creciente,22.5224,"$164,843.87",Mensual
28,Adquisición de Vivienda,"$8,000,000.00",90.0,10 años,"$245,221.28",11%,Creciente,14.555,"$106,617.95",Mensual
28,Adquisición de Vivienda,"$8,000,000.00",90.0,20 años,"$198,760.50",12%,Creciente,11.7909,"$86,417.61",Mensual
29,Adquisición de Vivienda,"$8,500,000.00",90.0,5 años,"$402,801.25",11%,Creciente,22.5224,"$175,130.98",Mensual
29,Adquisición de Vivienda,"$8,500,000.00",90.0,10 años,"$260,511.68",11%,Creciente,14.555,"$113,265.95",Mensual
29,Adquisición de Vivienda,"$8,500,000.00",90.0,20 años,"$211,147.10",12%,Creciente,11.7909,"$91,803.09",Mensual
30,Adquisición de Vivienda,"$9,000,000.00",90.0,5 años,"$431,192.47",11.5%,Creciente,22.7726,"$187,474.99",Mensual
30,Adquisición de Vivienda,"$9,000,000.00",90.0,10 años,"$281,182.61",11.5%,Creciente,14.8395,"$122,253.31",Mensual
30,Adquisición de Vivienda,"$9,000,000.00",90.0,20 años,"$230,162.31",12.5%,Creciente,12.1414,"$100,070.57",Mensual
31,Adquisición de Vivienda,"$9,500,000.00",90.0,5 años,"$455,115.67",11.5%,Creciente,22.7726,"$197,876.38",Mensual
31,Adquisición de Vivienda,"$9,500,000.00",90.0,10 años,"$296,771.94",11.5%,Creciente,14.8395,"$129,031.28",Mensual
31,Adquisición de Vivienda,"$9,500,000.00",90.0,20 años,"$242,917.14",12.5%,Creciente,12.1414,"$105,616.15",Mensual
32,Adquisición de Vivienda,"$10,000,000.00",90.0,5 años,"$479,038.87",11.5%,Creciente,22.7726,"$208,277.77",Mensual
32,Adquisición de Vivienda,"$10,000,000.00",90.0,10 años,"$312,361.25",11.5%,Creciente,14.8395,"$135,809.24",Mensual
32,Adquisición de Vivienda,"$10,000,000.00",90.0,20 años,"$255,672.00",12.5%,Creciente,12.1414,"$111,161.74",Mensual
