Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
28,Mejora tu Hipoteca,"$8,000,000.00",90%,20 años,"$199,871.56",12%,Fija,11.857,"$86,900.68",Mensual
29,Mejora tu Hipoteca,"$8,500,000.00",90%,5 años,"$403,981.75",11%,Fija,22.5885,"$175,644.24",Mensual
29,Mejora tu Hipoteca,"$8,500,000.00",90%,10 años,"$261,692.18",11%,Fija,14.6211,"$113,779.21",Mensual
29,Mejora tu Hipoteca,"$8,500,000.00",90%,20 años,"$212,327.60",12%,Fija,11.857,"$92,316.35",Mensual
30,Mejora tu Hipoteca,"$9,000,000.00",90%,5 años,"$432,442.41",11.50%,Fija,22.8387,"$188,018.44",Mensual
30,Mejora tu Hipoteca,"$9,000,000.00",90%,10 años,"$282,432.57",11.50%,Fija,14.9056,"$122,796.77",Mensual
30,Mejora tu Hipoteca,"$9,000,000.00",90%,20 años,"$231,412.24",12.50%,Fija,12.2075,"$100,614.02",Mensual
31,Mejora tu Hipoteca,"$9,500,000.00",90%,5 años,"$456,435.04",11.50%,Fija,22.8387,"$198,450.02",Mensual
31,Mejora tu Hipoteca,"$9,500,000.00",90%,10 años,"$298,091.31",11.50%,Fija,14.9056,"$129,604.92",Mensual
31,Mejora tu Hipoteca,"$9,500,000.00",90%,20 años,"$244,236.53",12.50%,Fija,12.2075,"$106,189.80",Mensual
32,Mejora tu Hipoteca,"$10,000,000.00",90%,5 años,"$480,427.68",11.50%,Fija,22.8387,"$208,881.60",Mensual
32,Mejora tu Hipoteca,"$10,000,000.00",90%,10 años,"$313,750.06",11.50%,Fija,14.9056,"$136,413.07",Mensual
32,Mejora tu Hipoteca,"$10,000,000.00",90%,20 años,"$257,060.81",12.50%,Fija,12.2075,"$111,765.57",Mensual
