Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
56,HIPOTECA BANCOMER FIJA TERRENO,$570000.00,70.0%,5 años,"$ 24,137.50",12.50 %,Tasa fija anual,15.0 %,"$ 8,976.66",Mensual
57,HIPOTECA BANCOMER FIJA TERRENO,$840000.00,70.0%,5 años,"$ 35,570.95",12.50 %,Tasa fija anual,15.0 %,"$ 13,228.77",Mensual
58,HIPOTECA BANCOMER FIJA TERRENO,$1110000.00,70.0%,5 años,"$ 47,004.50",12.50 %,Tasa fija anual,14.9 %,"$ 17,480.87",Mensual
59,HIPOTECA BANCOMER FIJA TERRENO,$1380000.00,15.217391304347828%,5 años,"$ 12,703.92",12.50 %,Tasa fija anual,15.2 %,"$ 4,724.56",Mensual
60,HIPOTECA BANCOMER FIJA TERRENO,$1650000.00,70.0%,5 años,"$ 69,871.62",12.50 %,Tasa fija anual,14.9 %,"$ 25,985.07",Mensual
61,HIPOTECA BANCOMER FIJA TERRENO,$1920000.00,70.0%,5 años,"$ 81,305.17",12.50 %,Tasa fija anual,14.9 %,"$ 30,237.18",Mensual
62,HIPOTECA BANCOMER FIJA TERRENO,$2190000.00,70.0%,5 años,"$ 92,738.70",12.50 %,Tasa fija anual,14.9 %,"$ 34,489.28",Mensual
63,HIPOTECA BANCOMER FIJA TERRENO,$2460000.00,70.0%,5 años,"$ 104,172.20",12.50 %,Tasa fija anual,14.9 %,"$ 38,741.38",Mensual
64,HIPOTECA BANCOMER FIJA TERRENO,$2730000.00,70.0%,5 años,"$ 115,605.75",12.50 %,Tasa fija anual,14.9 %,"$ 42,993.49",Mensual
65,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$180000.00,40.0%,20 años,"$ 3,897.28",10.40 %,Tasa fija anual,14.1 %,$ 714.00,Mensual
66,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$2160000.00,40.0%,20 años,"$ 43,626.00",10.40 %,Tasa fija anual,13.0 %,"$ 8,568.03",Mensual
67,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$4140000.00,40.0%,20 años,"$ 83,354.92",10.40 %,Tasa fija anual,13.0 %,"$ 16,422.06",Mensual
68,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$6120000.00,1.1764705882352942%,20 años,"$ 3,897.28",10.40 %,Tasa fija anual,14.1 %,$ 714.00,Mensual
69,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$8100000.00,40.0%,20 años,"$ 162,812.80",10.40 %,Tasa fija anual,13.0 %,"$ 32,130.11",Mensual
70,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$10080000.00,40.0%,20 años,"$ 202,541.72",10.40 %,Tasa fija anual,13.0 %,"$ 39,984.13",Mensual
71,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$12060000.00,40.0%,20 años,"$ 242,270.72",10.40 %,Tasa fija anual,13.0 %,"$ 47,838.16",Mensual
72,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$14040000.00,40.0%,20 años,"$ 281,999.52",10.40 %,Tasa fija anual,12.9 %,"$ 55,692.19",Mensual
73,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$16020000.00,40.0%,20 años,"$ 321,728.44",10.40 %,Tasa fija anual,12.9 %,"$ 63,546.21",Mensual
74,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$18000000.00,40.0%,20 años,"$ 361,457.60",10.40 %,Tasa fija anual,12.9 %,"$ 71,400.24",Mensual
75,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$19980000.00,40.0%,20 años,"$ 401,186.48",10.40 %,Tasa fija anual,12.9 %,"$ 79,254.27",Mensual
76,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$180000.00,40.0%,15 años,"$ 4,206.96",10.40 %,Tasa fija anual,14.4 %,$ 791.42,Mensual
77,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$2160000.00,40.0%,15 años,"$ 47,342.24",10.40 %,Tasa fija anual,13.2 %,"$ 9,497.09",Mensual
78,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$4140000.00,40.0%,15 años,"$ 90,477.72",10.40 %,Tasa fija anual,13.1 %,"$ 18,202.75",Mensual
79,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$6120000.00,40.0%,15 años,"$ 133,613.24",10.40 %,Tasa fija anual,13.1 %,"$ 26,908.42",Mensual
80,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$8100000.00,0.8888888888888888%,15 años,"$ 4,206.96",10.40 %,Tasa fija anual,14.4 %,$ 791.42,Mensual
81,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$10080000.00,40.0%,15 años,"$ 219,884.16",10.40 %,Tasa fija anual,13.1 %,"$ 44,319.74",Mensual
82,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$12060000.00,40.0%,15 años,"$ 263,019.68",10.40 %,Tasa fija anual,13.1 %,"$ 53,025.41",Mensual
83,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$14040000.00,40.0%,15 años,"$ 306,155.08",10.40 %,Tasa fija anual,13.1 %,"$ 61,731.07",Mensual
84,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$16020000.00,40.0%,15 años,"$ 349,290.52",10.40 %,Tasa fija anual,13.1 %,"$ 70,436.74",Mensual
