Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
22,Terminación de Obra,"$5,000,000.00",50%,5 años,"$132,715.91",11%,Fija,22.6414,"$57,702.57",Mensual
22,Terminación de Obra,"$5,000,000.00",50%,10 años,"$86,216.02",11%,Fija,14.674,"$37,485.23",Mensual
22,Terminación de Obra,"$5,000,000.00",50%,20 años,"$67,058.89",11.25%,Fija,11.3915,"$29,156.04",Mensual
23,Terminación de Obra,"$5,500,000.00",50%,5 años,"$145,929.98",11%,Fija,22.6414,"$63,447.82",Mensual
23,Terminación de Obra,"$5,500,000.00",50%,10 años,"$94,780.14",11%,Fija,14.674,"$41,208.76",Mensual
23,Terminación de Obra,"$5,500,000.00",50%,20 años,"$73,707.27",11.25%,Fija,11.3915,"$32,046.64",Mensual
24,Terminación de Obra,"$6,000,000.00",50%,5 años,"$159,144.08",11%,Fija,22.6414,"$69,193.08",Mensual
24,Terminación de Obra,"$6,000,000.00",50%,10 años,"$103,344.24",11%,Fija,14.674,"$44,932.28",Mensual
24,Terminación de Obra,"$6,000,000.00",50%,20 años,"$80,355.67",11.25%,Fija,11.3915,"$34,937.25",Mensual
25,Terminación de Obra,"$6,500,000.00",50%,5 años,"$172,358.18",11%,Fija,22.6414,"$74,938.34",Mensual
25,Terminación de Obra,"$6,500,000.00",50%,10 años,"$111,908.34",11%,Fija,14.674,"$48,655.80",Mensual
25,Terminación de Obra,"$6,500,000.00",50%,20 años,"$87,004.05",11.25%,Fija,11.3915,"$37,827.85",Mensual
26,Terminación de Obra,"$7,000,000.00",50%,5 años,"$185,572.25",11%,Fija,22.6414,"$80,683.59",Mensual
26,Terminación de Obra,"$7,000,000.00",50%,10 años,"$120,472.45",11%,Fija,14.674,"$52,379.33",Mensual
26,Terminación de Obra,"$7,000,000.00",50%,20 años,"$93,652.43",11.25%,Fija,11.3915,"$40,718.45",Mensual
27,Terminación de Obra,"$7,500,000.00",50%,5 años,"$198,786.35",11%,Fija,22.6414,"$86,428.85",Mensual
27,Terminación de Obra,"$7,500,000.00",50%,10 años,"$129,036.55",11%,Fija,14.674,"$56,102.85",Mensual
27,Terminación de Obra,"$7,500,000.00",50%,20 años,"$100,300.83",11.25%,Fija,11.3915,"$43,609.06",Mensual
28,Terminación de Obra,"$8,000,000.00",50%,5 años,"$212,000.45",11%,Fija,22.6414,"$92,174.11",Mensual
28,Terminación de Obra,"$8,000,000.00",50%,10 años,"$137,600.65",11%,Fija,14.674,"$59,826.37",Mensual
