Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
31,Compra tu Casa,9000000,95.0,84,"$ 297,540.00",11.20%,Pagos Oportunos,13.6%,"$ 148,770.00",Mensual
32,Compra tu Casa,9500000,95.0,84,"$ 314,070.00",11.20%,Pagos Oportunos,13.5%,"$ 157,035.00",Mensual
33,Compra tu Casa,10000000,95.0,84,"$ 330,600.00",11.20%,Pagos Oportunos,13.5%,"$ 165,300.00",Mensual
34,Compra tu Casa,400000,95.0,120,"$ 10,716.00",11.30%,Pagos Oportunos,13.5%,"$ 5,358.00",Mensual
35,Compra tu Casa,500000,95.0,120,"$ 13,395.00",11.30%,Pagos Oportunos,13.4%,"$ 6,697.50",Mensual
36,Compra tu Casa,600000,95.0,120,"$ 16,074.00",11.30%,Pagos Oportunos,13.4%,"$ 8,037.00",Mensual
37,Compra tu Casa,700000,95.0,120,"$ 18,753.00",11.30%,Pagos Oportunos,13.4%,"$ 9,376.50",Mensual
38,Compra tu Casa,800000,95.0,120,"$ 21,432.00",11.30%,Pagos Oportunos,13.4%,"$ 10,716.00",Mensual
39,Compra tu Casa,900000,95.0,120,"$ 24,111.00",11.30%,Pagos Oportunos,13.4%,"$ 12,055.50",Mensual
40,Compra tu Casa,1000000,95.0,120,"$ 26,790.00",11.30%,Pagos Oportunos,13.4%,"$ 13,395.00",Mensual
41,Compra tu Casa,1100000,95.0,120,"$ 29,469.00",11.30%,Pagos Oportunos,13.4%,"$ 14,734.50",Mensual
42,Compra tu Casa,1200000,95.0,120,"$ 32,148.00",11.30%,Pagos Oportunos,13.4%,"$ 16,074.00",Mensual
43,Compra tu Casa,1300000,95.0,120,"$ 34,827.00",11.30%,Pagos Oportunos,13.4%,"$ 17,413.50",Mensual
44,Compra tu Casa,1400000,95.0,120,"$ 37,506.00",11.30%,Pagos Oportunos,13.4%,"$ 18,753.00",Mensual
45,Compra tu Casa,1500000,95.0,120,"$ 40,185.00",11.30%,Pagos Oportunos,13.4%,"$ 20,092.50",Mensual
46,Compra tu Casa,1600000,95.0,120,"$ 42,864.00",11.30%,Pagos Oportunos,13.4%,"$ 21,432.00",Mensual
47,Compra tu Casa,1700000,95.0,120,"$ 45,543.00",11.30%,Pagos Oportunos,13.4%,"$ 22,771.50",Mensual
48,Compra tu Casa,1800000,95.0,120,"$ 48,222.00",11.30%,Pagos Oportunos,13.4%,"$ 24,111.00",Mensual
49,Compra tu Casa,1900000,95.0,120,"$ 50,901.00",11.30%,Pagos Oportunos,13.4%,"$ 25,450.50",Mensual
50,Compra tu Casa,2000000,95.0,120,"$ 53,580.00",11.30%,Pagos Oportunos,13.4%,"$ 26,790.00",Mensual
51,Compra tu Casa,2500000,95.0,120,"$ 66,975.00",11.30%,Pagos Oportunos,13.4%,"$ 33,487.50",Mensual
52,Compra tu Casa,3000000,95.0,120,"$ 80,370.00",11.30%,Pagos Oportunos,13.4%,"$ 40,185.00",Mensual
53,Compra tu Casa,3500000,95.0,120,"$ 93,765.00",11.30%,Pagos Oportunos,13.4%,"$ 46,882.50",Mensual
54,Compra tu Casa,4000000,95.0,120,"$ 107,160.00",11.30%,Pagos Oportunos,13.4%,"$ 53,580.00",Mensual
55,Compra tu Casa,4500000,95.0,120,"$ 120,555.00",11.30%,Pagos Oportunos,13.4%,"$ 60,277.50",Mensual
56,Compra tu Casa,5000000,95.0,120,"$ 133,950.00",11.30%,Pagos Oportunos,13.4%,"$ 66,975.00",Mensual
57,Compra tu Casa,5500000,95.0,120,"$ 147,345.00",11.30%,Pagos Oportunos,13.4%,"$ 73,672.50",Mensual
58,Compra tu Casa,6000000,95.0,120,"$ 160,740.00",11.30%,Pagos Oportunos,13.4%,"$ 80,370.00",Mensual
59,Compra tu Casa,6500000,95.0,120,"$ 174,135.00",11.30%,Pagos Oportunos,13.4%,"$ 87,067.50",Mensual
60,Compra tu Casa,7000000,95.0,120,"$ 187,530.00",11.30%,Pagos Oportunos,13.4%,"$ 93,765.00",Mensual
61,Compra tu Casa,7500000,95.0,120,"$ 200,925.00",11.30%,Pagos Oportunos,13.4%,"$ 100,462.50",Mensual
62,Compra tu Casa,8000000,95.0,120,"$ 214,320.00",11.30%,Pagos Oportunos,13.4%,"$ 107,160.00",Mensual
63,Compra tu Casa,8500000,95.0,120,"$ 227,715.00",11.30%,Pagos Oportunos,13.4%,"$ 113,857.50",Mensual
64,Compra tu Casa,9000000,95.0,120,"$ 241,110.00",11.30%,Pagos Oportunos,13.4%,"$ 120,555.00",Mensual
65,Compra tu Casa,9500000,95.0,120,"$ 254,505.00",11.30%,Pagos Oportunos,13.4%,"$ 127,252.50",Mensual
66,Compra tu Casa,10000000,95.0,120,"$ 267,900.00",11.30%,Pagos Oportunos,13.4%,"$ 133,950.00",Mensual
67,Compra tu Casa,400000,95.0,180,"$ 10,000.00",11.50%,Pagos Oportunos,13.4%,"$ 4,484.00",Mensual
68,Compra tu Casa,500000,95.0,180,"$ 11,210.00",11.50%,Pagos Oportunos,13.4%,"$ 5,605.00",Mensual
69,Compra tu Casa,600000,95.0,180,"$ 13,452.00",11.50%,Pagos Oportunos,13.4%,"$ 6,726.00",Mensual
70,Compra tu Casa,700000,95.0,180,"$ 15,694.00",11.50%,Pagos Oportunos,13.4%,"$ 7,847.00",Mensual
71,Compra tu Casa,800000,95.0,180,"$ 17,936.00",11.50%,Pagos Oportunos,13.4%,"$ 8,968.00",Mensual
72,Compra tu Casa,900000,95.0,180,"$ 20,178.00",11.50%,Pagos Oportunos,13.4%,"$ 10,089.00",Mensual
73,Compra tu Casa,1000000,95.0,180,"$ 22,420.00",11.50%,Pagos Oportunos,13.4%,"$ 11,210.00",Mensual
74,Compra tu Casa,1100000,95.0,180,"$ 24,662.00",11.50%,Pagos Oportunos,13.4%,"$ 12,331.00",Mensual
75,Compra tu Casa,1200000,95.0,180,"$ 26,904.00",11.50%,Pagos Oportunos,13.4%,"$ 13,452.00",Mensual
76,Compra tu Casa,1300000,95.0,180,"$ 29,146.00",11.50%,Pagos Oportunos,13.4%,"$ 14,573.00",Mensual
77,Compra tu Casa,1400000,95.0,180,"$ 31,388.00",11.50%,Pagos Oportunos,13.4%,"$ 15,694.00",Mensual
78,Compra tu Casa,1500000,95.0,180,"$ 33,630.00",11.50%,Pagos Oportunos,13.4%,"$ 16,815.00",Mensual
79,Compra tu Casa,1600000,95.0,180,"$ 35,872.00",11.50%,Pagos Oportunos,13.4%,"$ 17,936.00",Mensual
80,Compra tu Casa,1700000,95.0,180,"$ 38,114.00",11.50%,Pagos Oportunos,13.4%,"$ 19,057.00",Mensual
81,Compra tu Casa,1800000,95.0,180,"$ 40,356.00",11.50%,Pagos Oportunos,13.4%,"$ 20,178.00",Mensual
82,Compra tu Casa,1900000,95.0,180,"$ 42,598.00",11.50%,Pagos Oportunos,13.4%,"$ 21,299.00",Mensual
