subprod_id,prod_id,valor_vivienda,aforo,plazo,ingresos_requeridos,tasa_interes,tipo_tasa_id,cat,cat_incluye_iva,monto_pago,avaluo,comision_por_apertura,gastos_notariales,desembolso_inicial
19,13,3000000,95.0,84,99180.0,11.2,0,13.6,0,49590.0,6700.0,35625.0,60000.0,252325.0
20,13,3500000,95.0,84,115710.0,11.2,0,13.6,0,57855.0,9600.0,41562.5,70000.0,296162.5
21,13,4000000,95.0,84,132240.0,11.2,0,13.6,0,66120.0,9600.0,47500.0,80000.0,337100.0
22,13,4500000,95.0,84,148770.0,11.2,0,13.6,0,74385.0,12300.0,53437.5,90000.0,380737.5
23,13,5000000,95.0,84,165300.0,11.2,0,13.6,0,82650.0,12300.0,59375.0,100000.0,421675.0
24,13,5500000,95.0,84,181830.0,11.2,0,13.6,0,90915.0,17200.0,65312.5,110000.0,467512.5
25,13,6000000,95.0,84,198360.0,11.2,0,13.6,0,99180.0,17200.0,71250.0,120000.0,508450.0
26,13,6500000,95.0,84,214890.0,11.2,0,13.6,0,107445.0,17200.0,77187.5,130000.0,549387.5
27,13,7000000,95.0,84,231420.0,11.2,0,13.6,0,115710.0,17200.0,83125.0,140000.0,590325.0
28,13,7500000,95.0,84,247950.0,11.2,0,13.6,0,123975.0,17200.0,89062.5,150000.0,631262.5
29,13,8000000,95.0,84,264480.0,11.2,0,13.5,0,132240.0,17200.0,95000.0,160000.0,672200.0
30,13,8500000,95.0,84,281010.0,11.2,0,13.6,0,140505.0,19800.0,100937.5,170000.0,715737.5
31,13,9000000,95.0,84,297540.0,11.2,0,13.6,0,148770.0,19800.0,106875.0,180000.0,756675.0
32,13,9500000,95.0,84,314070.0,11.2,0,13.5,0,157035.0,19800.0,112812.5,190000.0,797612.5
33,13,10000000,95.0,84,330600.0,11.2,0,13.5,0,165300.0,19800.0,118750.0,200000.0,838550.0
34,13,400000,95.0,120,10716.0,11.3,0,13.5,0,5358.0,1800.0,4750.0,8000.0,34550.0
35,13,500000,95.0,120,13395.0,11.3,0,13.4,0,6697.5,1800.0,5937.5,10000.0,42737.5
36,13,600000,95.0,120,16074.0,11.3,0,13.4,0,8037.0,2500.0,7125.0,12000.0,51625.0
37,13,700000,95.0,120,18753.0,11.3,0,13.4,0,9376.5,2500.0,8312.5,14000.0,59812.5
38,13,800000,95.0,120,21432.0,11.3,0,13.4,0,10716.0,2500.0,9500.0,16000.0,68000.0
39,13,900000,95.0,120,24111.0,11.3,0,13.4,0,12055.5,2500.0,10687.5,18000.0,76187.5
40,13,1000000,95.0,120,26790.0,11.3,0,13.4,0,13395.0,2500.0,11875.0,20000.0,84375.0
41,13,1100000,95.0,120,29469.0,11.3,0,13.4,0,14734.5,4000.0,13062.5,22000.0,94062.5
42,13,1200000,95.0,120,32148.0,11.3,0,13.4,0,16074.0,4000.0,14250.0,24000.0,102250.0
43,13,1300000,95.0,120,34827.0,11.3,0,13.4,0,17413.5,4000.0,15437.5,26000.0,110437.5
44,13,1400000,95.0,120,37506.0,11.3,0,13.4,0,18753.0,4000.0,16625.0,28000.0,118625.0
45,13,1500000,95.0,120,40185.0,11.3,0,13.4,0,20092.5,4000.0,17812.5,30000.0,126812.5
46,13,1600000,95.0,120,42864.0,11.3,0,13.4,0,21432.0,4000.0,19000.0,32000.0,135000.0
47,13,1700000,95.0,120,45543.0,11.3,0,13.4,0,22771.5,4000.0,20187.5,34000.0,143187.5
48,13,1800000,95.0,120,48222.0,11.3,0,13.4,0,24111.0,4000.0,21375.0,36000.0,151375.0
