Subproducto,"Institución",Producto,Moneda,"Valor Vivienda",Aforo,Plazo,"Ingresos Requeridos","Tasa de Interés","Tipo de Tasa",CAT,"CAT Incluye IVA",Pago,"Frecuencia de Pago",Avaluo,"Comisión por Apertura","Gastos Notariales","Desembolso Inicial"
88,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4500000,95.0,180,100890.0,11.5,Fija,13.4,0,50445.0,Mensual,12300.0,53437.5,90000.0,380737.5
89,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5000000,95.0,180,112100.0,11.5,Fija,13.4,0,56050.0,Mensual,12300.0,59375.0,100000.0,421675.0
90,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5500000,95.0,180,123310.0,11.5,Fija,13.4,0,61655.0,Mensual,17200.0,65312.5,110000.0,467512.5
91,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6000000,95.0,180,134520.0,11.5,Fija,13.4,0,67260.0,Mensual,17200.0,71250.0,120000.0,508450.0
92,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6500000,95.0,180,145730.0,11.5,Fija,13.4,0,72865.0,Mensual,17200.0,77187.5,130000.0,549387.5
93,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7000000,95.0,180,156940.0,11.5,Fija,13.4,0,78470.0,Mensual,17200.0,83125.0,140000.0,590325.0
94,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7500000,95.0,180,168150.0,11.5,Fija,13.4,0,84075.0,Mensual,17200.0,89062.5,150000.0,631262.5
95,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8000000,95.0,180,179360.0,11.5,Fija,13.4,0,89680.0,Mensual,17200.0,95000.0,160000.0,672200.0
96,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8500000,95.0,180,190570.0,11.5,Fija,13.4,0,95285.0,Mensual,19800.0,100937.5,170000.0,715737.5
97,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9000000,95.0,180,201780.0,11.5,Fija,13.4,0,100890.0,Mensual,19800.0,106875.0,180000.0,756675.0
98,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9500000,95.0,180,212990.0,11.5,Fija,13.4,0,106495.0,Mensual,19800.0,112812.5,190000.0,797612.5
99,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,10000000,95.0,180,224200.0,11.5,Fija,13.4,0,112100.0,Mensual,19800.0,118750.0,200000.0,838550.0
100,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,240,10000.0,11.6,Fija,13.4,0,4126.8,Mensual,1800.0,4750.0,8000.0,34550.0
101,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,240,10317.0,11.6,Fija,13.4,0,5158.5,Mensual,1800.0,5937.5,10000.0,42737.5
102,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,240,12380.4,11.6,Fija,13.4,0,6190.2,Mensual,2500.0,7125.0,12000.0,51625.0
103,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,240,14443.8,11.6,Fija,13.4,0,7221.9,Mensual,2500.0,8312.5,14000.0,59812.5
104,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,240,16507.2,11.6,Fija,13.4,0,8253.6,Mensual,2500.0,9500.0,16000.0,68000.0
105,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,240,18570.6,11.6,Fija,13.4,0,9285.3,Mensual,2500.0,10687.5,18000.0,76187.5
106,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1000000,95.0,240,20634.0,11.6,Fija,13.4,0,10317.0,Mensual,2500.0,11875.0,20000.0,84375.0
107,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1100000,95.0,240,22697.4,11.6,Fija,13.4,0,11348.7,Mensual,4000.0,13062.5,22000.0,94062.5
108,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1200000,95.0,240,24760.8,11.6,Fija,13.4,0,12380.4,Mensual,4000.0,14250.0,24000.0,102250.0
109,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1300000,95.0,240,26824.2,11.6,Fija,13.4,0,13412.1,Mensual,4000.0,15437.5,26000.0,110437.5
110,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1400000,95.0,240,28887.6,11.6,Fija,13.4,0,14443.8,Mensual,4000.0,16625.0,28000.0,118625.0
111,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1500000,95.0,240,30951.0,11.6,Fija,13.4,0,15475.5,Mensual,4000.0,17812.5,30000.0,126812.5
112,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1600000,95.0,240,33014.4,11.6,Fija,13.4,0,16507.2,Mensual,4000.0,19000.0,32000.0,135000.0
113,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1700000,95.0,240,35077.8,11.6,Fija,13.4,0,17538.9,Mensual,4000.0,20187.5,34000.0,143187.5
114,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1800000,95.0,240,37141.2,11.6,Fija,13.4,0,18570.6,Mensual,4000.0,21375.0,36000.0,151375.0
115,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1900000,95.0,240,39204.6,11.6,Fija,13.4,0,19602.3,Mensual,4000.0,22562.5,38000.0,159562.5
116,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2000000,95.0,240,41268.0,11.6,Fija,13.4,0,20634.0,Mensual,4000.0,23750.0,40000.0,167750.0
